STRAIN,FILEBASE
CCFEE_5001,CCFEE_5001_[12].fastq.gz
CCFEE_5180,CCFEE_5180_[12].fastq.gz
CCFEE_5193,CCFEE_5193_[12].fastq.gz
CCFEE_5195,CCFEE_5195_[12].fastq.gz
CCFEE_5199,CCFEE_5199_[12].fastq.gz
CCFEE_5200,CCFEE_5200_[12].fastq.gz
CCFEE_5208,CCFEE_5208_[12].fastq.gz
CCFEE_522,CCFEE_522_[12].fastq.gz
CCFEE_524,CCFEE_524_[12].fastq.gz
CCFEE_5269,CCFEE_5269_[12].fastq.gz
CCFEE_5273,CCFEE_5273_[12].fastq.gz
CCFEE_5275,CCFEE_5275_[12].fastq.gz
CCFEE_5277,CCFEE_5277_[12].fastq.gz
CCFEE_5281,CCFEE_5281_[12].fastq.gz
CCFEE_5283,CCFEE_5283_[12].fastq.gz
CCFEE_5305,CCFEE_5305_[12].fastq.gz
CCFEE_5307,CCFEE_5307_[12].fastq.gz
CCFEE_5311,CCFEE_5311_[12].fastq.gz
CCFEE_5311_v1,CCFEE_5311_v1_[12].fastq.gz
CCFEE_5328,CCFEE_5328_[12].fastq.gz
CCFEE_5486,CCFEE_5486_[12].fastq.gz
CCFEE_6074,CCFEE_6074_[12].fastq.gz
CCFEE_6078,CCFEE_6078_[12].fastq.gz
CCFEE_6081,CCFEE_6081_[12].fastq.gz
CCFEE_6096,CCFEE_6096_[12].fastq.gz
CCFEE_6162,CCFEE_6162_[12].fastq.gz
CCFEE_6249,CCFEE_6249_[12].fastq.gz
CCFEE_6250,CCFEE_6250_[12].fastq.gz
CCFEE_6296,CCFEE_6296_[12].fastq.gz
CCFEE_6306,CCFEE_6306_[12].fastq.gz
CCFEE_6416,CCFEE_6416_[12].fastq.gz
CCFEE_6464,CCFEE_6464_[12].fastq.gz
CCFEE_670,CCFEE_670_[12].fastq.gz
